,word,type,cefr,phon_br,phon_n_am,definition,example,uk,us
0,a,indefinite article,a1,/ə/,/ə/,used before countable or singular nouns referring to people or things that have not already been mentioned,a man/horse/unit,a_uk.mp3,a_us.mp3
1,abandon,verb,b2,/əˈbændən/,/əˈbændən/,"to leave somebody, especially somebody you are responsible for, with no intention of returning","abandon somebody, The baby had been abandoned by its mother.",abandon_uk.mp3,abandon_us.mp3
2,ability,noun,a2,/əˈbɪləti/,/əˈbɪləti/,the fact that somebody/something is able to do something,People with the disease may lose their ability to communicate.,ability_uk.mp3,ability_us.mp3
3,able,adjective,a2,/ˈeɪbl/,/ˈeɪbl/,"to have the skill, intelligence, opportunity, etc. needed to do something",You must be able to speak French for this job.,able_uk.mp3,able_us.mp3
4,abolish,verb,c1,/əˈbɒlɪʃ/,/əˈbɑːlɪʃ/,"to officially end a law, a system or an institution",This tax should be abolished.,abolish_uk.mp3,abolish_us.mp3
5,abortion,noun,c1,/əˈbɔːʃn/,/əˈbɔːrʃn/,the deliberate ending of a pregnancy at an early stage,to support/oppose abortion,abortion_uk.mp3,abortion_us.mp3
6,about,adverb,a1,/əˈbaʊt/,/əˈbaʊt/,a little more or less than; a little before or after,It costs about $10.,about_uk.mp3,about_us.mp3
7,about,preposition,a1,/əˈbaʊt/,/əˈbaʊt/,on the subject of somebody/something; in connection with somebody/something,a book about flowers,about_uk.mp3,about_us.mp3
8,above,adverb,a1,/əˈbʌv/,/əˈbʌv/,at or to a higher place,Put it on the shelf above.,above_uk.mp3,above_us.mp3
9,above,preposition,a1,/əˈbʌv/,/əˈbʌv/,at or to a higher place or position than something/somebody,The water came above our knees.,above_uk.mp3,above_us.mp3
10,abroad,adverb,a2,/əˈbrɔːd/,/əˈbrɔːd/,in or to a foreign country,to go/travel/live/study abroad ,abroad_uk.mp3,abroad_us.mp3
11,absence,noun,c1,/ˈæbsəns/,/ˈæbsəns/,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,"in somebody's absence, The decision was made in my absence (= while I was not there).",absence_uk.mp3,absence_us.mp3
12,absent,adjective,c1,/ˈæbsənt/,/ˈæbsənt/,"not in a place because of illness, etc.",He was absent from work for two weeks.,absent_uk.mp3,absent_us.mp3
13,absolute,adjective,b2,/ˈæbsəluːt/,/ˈæbsəluːt/,total and complete,I've joined a class for absolute beginners.,absolute_uk.mp3,absolute_us.mp3
14,absolutely,adverb,b1,/ˈæbsəluːtli/,/ˈæbsəluːtli/,used to emphasize that something is completely true,You're absolutely right.,absolutely_uk.mp3,absolutely_us.mp3
15,absorb,verb,b2,/əbˈzɔːb/,/əbˈzɔːrb/,"to take in a liquid, gas or other substance from the surface or space around","absorb something, Plants absorb carbon dioxide from the air.",absorb_uk.mp3,absorb_us.mp3
16,abstract,adjective,b2,/ˈæbstrækt/,/ˈæbstrækt/,"based on general ideas and not on any particular real person, thing or situation",abstract knowledge/principles,abstract_uk.mp3,abstract_us.mp3
17,absurd,adjective,c1,/əbˈsɜːd/,/əbˈsɜːrd/,extremely silly; not logical and sensible,That uniform makes the guards look absurd.,absurd_uk.mp3,absurd_us.mp3
18,abundance,noun,c1,/əˈbʌndəns/,/əˈbʌndəns/,a large quantity that is more than enough,The brochure promised beautiful walks with an abundance of wildlife.,abundance_uk.mp3,abundance_us.mp3
19,abuse,noun,c1,/əˈbjuːs/,/əˈbjuːs/,the use of something in a way that is wrong or harmful,alcohol/drug abuse,abuse_uk.mp3,abuse_us.mp3
20,abuse,verb,c1,/əˈbjuːz/,/əˈbjuːz/,"to make bad use of something, or to use so much of something that it harms your health",to abuse alcohol/drugs,abuse_uk.mp3,abuse_us.mp3
21,academic,adjective,b1,/ˌækəˈdemɪk/,/ˌækəˈdemɪk/,"connected with education, especially studying in schools and universities",high/low academic standards,academic_uk.mp3,academic_us.mp3
22,academic,noun,b2,/ˌækəˈdemɪk/,/ˌækəˈdemɪk/,a person who teaches and/or does research at a university or college,a leading/distinguished/prominent academic,academic_uk.mp3,academic_us.mp3
23,academy,noun,c1,/əˈkædəmi/,/əˈkædəmi/,a school or college for special training,She trained at the Royal Academy of Music.,academy_uk.mp3,academy_us.mp3
24,accelerate,verb,c1,/əkˈseləreɪt/,/əkˈseləreɪt/,to happen faster or earlier; to make something happen faster or earlier,Inflation continues to accelerate.,accelerate_uk.mp3,accelerate_us.mp3
25,accent,noun,b2,/ˈæksent/,/ˈæksent/,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language",a northern/Dublin/Scottish accent,accent_uk.mp3,accent_us.mp3
26,accept,verb,a2,/əkˈsept/,/əkˈsept/,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",He asked me to marry him and I accepted.,accept_uk.mp3,accept_us.mp3
27,acceptable,adjective,b2,/əkˈseptəbl/,/əkˈseptəbl/,agreed or approved of by most people in a society,Children must learn socially acceptable behaviour.,acceptable_uk.mp3,acceptable_us.mp3
28,acceptance,noun,c1,/əkˈseptəns/,/əkˈseptəns/,"the act of accepting a gift, an invitation, an offer, etc.",Please confirm your acceptance of this offer in writing.,acceptance_uk.mp3,acceptance_us.mp3
