,word,type,cefr,phon_br,phon_n_am,definition,example,uk,us
0,abolish,verb,c1,/əˈbɒlɪʃ/,/əˈbɑːlɪʃ/,"to officially end a law, a system or an institution",This tax should be abolished.,abolish_uk.mp3,abolish_us.mp3
1,abortion,noun,c1,/əˈbɔːʃn/,/əˈbɔːrʃn/,the deliberate ending of a pregnancy at an early stage,to support/oppose abortion,abortion_uk.mp3,abortion_us.mp3
2,absence,noun,c1,/ˈæbsəns/,/ˈæbsəns/,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,"in somebody's absence, The decision was made in my absence (= while I was not there).",absence_uk.mp3,absence_us.mp3
3,absent,adjective,c1,/ˈæbsənt/,/ˈæbsənt/,"not in a place because of illness, etc.",He was absent from work for two weeks.,absent_uk.mp3,absent_us.mp3
4,absorb,verb,b2,/əbˈzɔːb/,/əbˈzɔːrb/,"to take in a liquid, gas or other substance from the surface or space around","absorb something, Plants absorb carbon dioxide from the air.",absorb_uk.mp3,absorb_us.mp3
5,abstract,adjective,b2,/ˈæbstrækt/,/ˈæbstrækt/,"based on general ideas and not on any particular real person, thing or situation",abstract knowledge/principles,abstract_uk.mp3,abstract_us.mp3
6,absurd,adjective,c1,/əbˈsɜːd/,/əbˈsɜːrd/,extremely silly; not logical and sensible,That uniform makes the guards look absurd.,absurd_uk.mp3,absurd_us.mp3
7,abundance,noun,c1,/əˈbʌndəns/,/əˈbʌndəns/,a large quantity that is more than enough,The brochure promised beautiful walks with an abundance of wildlife.,abundance_uk.mp3,abundance_us.mp3
8,abuse,noun,c1,/əˈbjuːs/,/əˈbjuːs/,the use of something in a way that is wrong or harmful,alcohol/drug abuse,abuse_uk.mp3,abuse_us.mp3
9,abuse,verb,c1,/əˈbjuːz/,/əˈbjuːz/,"to make bad use of something, or to use so much of something that it harms your health",to abuse alcohol/drugs,abuse_uk.mp3,abuse_us.mp3
10,academy,noun,c1,/əˈkædəmi/,/əˈkædəmi/,a school or college for special training,She trained at the Royal Academy of Music.,academy_uk.mp3,academy_us.mp3
11,accelerate,verb,c1,/əkˈseləreɪt/,/əkˈseləreɪt/,to happen faster or earlier; to make something happen faster or earlier,Inflation continues to accelerate.,accelerate_uk.mp3,accelerate_us.mp3
12,accent,noun,b2,/ˈæksent/,/ˈæksent/,"a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language",a northern/Dublin/Scottish accent,accent_uk.mp3,accent_us.mp3
13,acceptance,noun,c1,/əkˈseptəns/,/əkˈseptəns/,"the act of accepting a gift, an invitation, an offer, etc.",Please confirm your acceptance of this offer in writing.,acceptance_uk.mp3,acceptance_us.mp3
14,accessible,adjective,c1,/əkˈsesəbl/,/əkˈsesəbl/,"that can be reached, entered, used, seen, etc.",The remote desert area is accessible only by helicopter.,accessible_uk.mp3,accessible_us.mp3
